MeasurementTime,Measurement time error,ego_X,ego_Y,ego_yaw,ego_speed,ego_acc,ego_s,ego_d,eHMI_green_on,eHMI_red_on,HV_X,HV_Y,HV_yaw,HV_v_km/h,HV_ax,HV_ay,Straight_SteeringWheel,Straight_AcceleratorPedal,Straight_BrakePedal,K1.NumPad1,K1.NumPad2,time_cost[s],reward[%]
2400.00,0.00,125.610006,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.610006,0.000000,0.000000,-95.610006,14.544000,-0.000004,0.000000,0.000000,0.000000,-0.057933,-0.589746,-1.039255,0.000000,0.000000,0.000000,100.000000
2500.00,0.00,125.610006,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.610006,0.000000,0.000000,-95.610006,14.544000,-0.000004,0.000000,0.000000,0.000000,-0.109900,-0.378825,-1.039255,0.000000,0.000000,0.000000,100.000000
2600.00,0.00,125.610006,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.610006,0.000000,0.000000,-95.610006,14.544000,-0.000004,0.000000,0.000000,0.000000,-0.184004,-0.299206,-1.039255,0.000000,0.000000,0.000000,100.000000
2700.00,0.00,125.610006,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.610006,0.000000,0.000000,-95.610006,14.544000,-0.000004,0.000000,0.000000,0.000000,-0.253712,-0.265683,-1.039255,0.000000,0.000000,0.000000,100.000000
2800.01,0.01,125.610006,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.610006,0.000000,0.000000,-95.610006,14.544000,-0.000004,0.000000,0.000000,0.000000,-0.308034,-0.110635,-1.039255,0.000000,0.000000,0.000000,100.000000
2900.00,0.00,125.610006,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.610006,0.000000,0.000000,-95.610006,14.544000,-0.000004,0.000000,0.000000,0.000000,-0.333154,0.003905,-1.039255,0.000000,0.000000,0.000000,100.000000
3000.00,0.00,125.608266,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.608266,0.000000,0.000000,-95.608266,14.544000,-0.000016,0.125145,0.474060,0.000005,-0.356704,0.089111,-1.039255,0.000000,0.000000,0.000000,100.000000
3100.01,0.01,125.600981,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.600981,0.000000,0.000000,-95.600981,14.544000,-0.000069,0.374901,0.797398,0.000031,-0.363612,0.161746,-1.039255,0.000000,0.000000,0.000000,100.000000
3200.00,0.00,125.585234,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.585234,0.000000,0.000000,-95.585234,14.543998,-0.000183,0.711583,0.996371,0.000087,-0.361728,0.206444,-1.039255,0.000000,0.000000,0.000000,100.000000
3300.01,0.01,125.558992,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.558992,0.000000,0.000000,-95.558992,14.543990,-0.000366,1.121014,1.207774,0.000209,-0.339748,0.253937,-1.039255,0.000000,0.000000,0.000000,100.000000
3400.00,0.00,125.520484,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.520484,0.000000,0.000000,-95.520484,14.543970,-0.000615,1.580060,1.294809,0.000354,-0.313843,0.273492,-1.039255,0.000000,0.000000,0.000000,100.000000
3500.00,0.00,125.469072,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.469072,0.000000,0.000000,-95.469072,14.543929,-0.000924,2.046559,1.319655,0.000510,-0.294375,0.279079,-1.039255,0.000000,0.000000,0.000000,100.000000
3600.00,0.00,125.404163,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.404163,0.000000,0.000000,-95.404163,14.543855,-0.001293,2.550356,1.456417,0.000831,-0.280088,0.309810,-1.039255,0.000000,0.000000,0.000000,100.000000
3700.00,0.00,125.324475,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.324475,0.000000,0.000000,-95.324475,14.543731,-0.001744,3.101146,1.580729,0.001167,-0.289665,0.337746,-1.039255,0.000000,0.000000,0.000000,100.000000
3800.00,0.00,125.229118,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.229118,0.000000,0.000000,-95.229118,14.543533,-0.002334,3.674302,1.642845,0.001320,-0.325461,0.351714,-1.039255,0.000000,0.000000,0.000000,100.000000
3900.00,0.00,125.117124,18.120000,-3.141593,8.000000,0.000000,0.000000,-25.117124,0.000000,0.000000,-95.117124,14.543222,-0.003102,4.293324,1.767122,0.001700,-0.353564,0.379651,-1.039255,0.000000,0.000000,0.000000,100.000000
4000.00,0.00,124.987270,18.120000,-3.141593,8.000000,0.000000,0.000000,-24.987270,0.000000,0.000000,-94.987270,14.542748,-0.004031,4.951861,1.872721,0.002369,-0.357803,0.403397,-1.039255,0.000000,0.000000,0.000000,100.000000
4100.00,0.00,124.838488,18.120000,-3.141593,8.000000,0.000000,0.000000,-24.838488,0.000000,0.000000,-94.838488,14.542058,-0.005072,5.649908,1.972075,0.003466,-0.343202,0.425746,-1.039255,0.000000,0.000000,0.000000,100.000000
4200.00,0.00,124.669897,18.120000,-3.141593,8.000000,0.000000,0.000000,-24.669897,0.000000,0.000000,-94.669897,14.541093,-0.006181,6.371414,2.021659,0.004699,-0.320437,0.436921,-1.039255,0.000000,0.000000,0.000000,100.000000
4300.00,0.00,124.481141,18.120000,-3.141593,8.000000,0.000000,0.000000,-24.481141,0.000000,0.000000,-94.481141,14.539796,-0.007346,7.096600,2.009037,0.005620,-0.301126,0.434127,-1.039255,0.000000,0.000000,0.000000,100.000000
4400.00,0.00,124.272230,18.120000,-3.141593,8.000000,0.000000,0.000000,-24.272230,0.000000,0.000000,-94.272230,14.538114,-0.008541,7.824339,2.027484,0.007065,-0.276477,0.438317,-1.039255,0.000000,0.000000,0.000000,100.000000
4500.00,0.00,124.043123,18.120000,-3.141593,8.000000,0.000000,0.000000,-24.043123,0.000000,0.000000,-94.043123,14.535993,-0.009758,8.550896,2.014818,0.008193,-0.259050,0.435524,-1.039255,0.000000,0.000000,0.000000,100.000000
4600.00,0.00,123.793836,18.120000,-3.141593,8.000000,0.000000,0.000000,-23.793836,0.000000,0.000000,-93.793836,14.533380,-0.010980,9.277383,2.014568,0.009751,-0.234872,0.435524,-1.039255,0.000000,0.000000,0.000000,100.000000
4700.01,0.01,123.524405,18.120000,-3.141593,8.000000,0.000000,0.000000,-23.524405,0.000000,0.000000,-93.524405,14.530231,-0.012181,10.002675,2.014299,0.011357,-0.216974,0.435524,-1.039255,0.000000,0.000000,0.000000,100.000000
4800.00,0.00,123.234804,18.120000,-3.141593,8.000000,0.000000,0.000000,-23.234804,0.000000,0.000000,-93.234804,14.526495,-0.013412,10.729272,2.012231,0.012299,-0.211322,0.436921,-1.039255,0.000000,0.000000,0.000000,100.000000
4900.01,0.01,122.925179,18.120000,-3.141593,8.000000,0.000000,0.000000,-22.925179,0.000000,0.000000,-92.925179,14.522106,-0.014719,11.444104,1.964230,0.012169,-0.212264,0.436921,-1.039255,0.000000,0.000000,0.000000,100.000000
5000.00,0.00,122.595964,18.120000,-3.141593,8.000000,0.000000,0.000000,-22.595964,0.000000,0.000000,-92.595964,14.516989,-0.016132,12.143129,1.917254,0.011669,-0.216346,0.436921,-1.039255,0.000000,0.000000,0.000000,100.000000
5100.00,0.00,122.247632,18.120000,-3.141593,8.000000,0.000000,0.000000,-22.247632,0.000000,0.000000,-92.247632,14.511065,-0.017629,12.823908,1.871480,0.011638,-0.213834,0.436921,-1.039255,0.000000,0.000000,0.000000,100.000000
5200.00,0.00,121.880428,18.120000,-3.141593,8.000000,0.000000,0.000000,-21.880428,0.000000,0.000000,-91.880428,14.504256,-0.019189,13.510494,1.971668,0.014325,-0.212735,0.464857,-1.039255,0.000000,0.000000,0.000000,100.000000
